county,lon,lat,smat_2004,smat_2005,smat_2006,smat_2007,smat_2008,smat_2009,smat_2010,smat_2011,smat_2012,smat_2013,smat_2014,smat_2015,smat_2016
Randolph County,-88.6512,36.7231,0,0,0,0,1,1,1,0,0,0,0,0,0
Ritchie County,-81.06298,39.17826,0,0,0,0,0,0,0,0,0,0,0,0,0
Roane County,-82.53678,38.59842,0,0,0,0,0,0,0,0,0,0,0,0,0
Summers County,-82.92235,38.54569,0,0,0,0,0,0,0,0,0,1,1,0,1
Taylor County,-80.04619,39.33598,0,0,0,0,0,0,0,0,0,0,0,0,1
Tucker County,-82.15116,41.2956,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler County,-80.88484,39.46528,0,0,0,0,0,0,0,0,0,0,0,0,0
Upshur County,-80.23344,38.89784,0,0,0,0,1,1,1,0,0,0,0,0,0
Wayne County,-80.77631,41.01465,0,0,0,2,2,1,2,1,1,1,1,1,1
Webster County,-83.16087,40.58719,0,0,0,0,0,1,1,1,1,1,0,1,1
Wetzel County,-80.63911,39.60528,0,0,0,0,0,0,0,0,1,2,2,1,1
Wirt County,-81.37869,39.02245,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood County,-84.62937,40.53995,1,1,1,2,2,2,2,2,2,3,3,1,3
Wyoming County,-81.5596,37.6339,0,0,0,0,0,0,0,0,0,0,0,0,0
