county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Lincoln County,137,-84.66081,37.45535,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0
Livingston County,139,-88.35372,37.20963,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0
Logan County,141,-83.05702,39.33759,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,12.95,1,14.95,0,14.95,0
Lyon County,143,-83.14544,41.3568,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Madison County,151,-81.36563,40.81388,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Magoffin County,153,-81.53217,41.12598,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0
Marion County,155,-85.26964,37.55254,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,16.95,1,16.95,1,18.95,1
Marshall County,157,-88.32935,36.88342,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0
Martin County,159,-83.37157,40.29941,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,1
Mason County,161,-84.58612,40.85541,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,1
McCracken County,145,-88.71265,37.05396,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1,16.95,2,16.95,1,18.95,1,18.95,0,20.95,1
McCreary County,147,-83.12766,41.12386,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0
McLean County,149,-84.20475,40.33155,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0
Meade County,163,-86.21695,37.96962,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0
Menifee County,165,-84.16677,39.42756,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,1,28.95,1,30,1,30,1
Mercer County,167,-81.49529,39.45532,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Metcalfe County,169,-85.62923,36.99053,4.95,0,4.95,0,6.95,0,6.95,1,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Monroe County,171,-84.58816,41.56032,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0
Montgomery County,173,-83.623,41.36168,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,1,18.95,1,20.95,1,20.95,1
Morgan County,175,-83.25888,37.92229,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,18.95,1,18.95,1
Muhlenberg County,177,-87.14203,37.21579,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0
Nelson County,179,-85.46596,37.80515,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,1,12.95,1,14.95,1,14.95,1
Nicholas County,181,-84.0153,38.33555,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0
Ohio County,183,-86.84888,37.47819,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Oldham County,185,-85.44854,38.39948,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,1
Owen County,187,-84.8281,38.51966,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0
Owsley County,189,-83.6831,37.41921,16.95,0,18.95,0,20.95,0,22.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Pendleton County,191,-84.36025,38.69564,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,1,26.95,1
Perry County,193,-83.22148,37.2443,26.95,1,28.95,0,28.95,0,30,3,30,2,30,3,30,1,30,1,30,1,30,2,30,2,30,1,30,1
Pike County,195,-82.39577,37.4691,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,2,30,2,30,2,30,2,30,1,30,1,30,1,30,1
Powell County,197,-83.82373,37.83113,26.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Pulaski County,199,-84.57725,37.10387,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1
Robertson County,201,-84.05204,38.51882,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,10.95,0,10.95,0,12.95,0,16.95,0,18.95,0,20.95,0,24.95,0,28.95,0
Rockcastle County,203,-84.31601,37.36505,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0
Rowan County,205,-83.4211,38.19626,10.95,1,12.95,0,12.95,1,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,1,20.95,2,22.95,2,22.95,2,24.95,1
Russell County,207,-85.05865,36.99109,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Scott County,209,-84.58391,38.29155,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0
Shelby County,211,-85.19478,38.21545,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0
Simpson County,213,-86.58224,36.74195,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Spencer County,215,-85.32783,38.03252,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0
